"S.
No.",Detail of Gifts,Name of Recipient,Date,"Assessed
Value","Retention
cost",Remarks
55,"One Ladies Dupatta One Key Chain
One Card Holder One Decoration Cup Eight Face Towels
Four Decoration Pieces One Pair of Oven Gloves
Four cloth matts",First Lady of Pakistan,2/28/2023,,,In process
56,One Rug/Carpet,"Mr.  Asad  Majeed  Khan,  Foreign Secretary",3/1/2023,,,In process
57,Two Ladies Suit,First Lady of Pakistan,3/2/2023,,,In process
58,"One Fancy Dupatta One Vase
One White Box of Candle",First Lady of Pakistan,3/2/2023,,,In process
59,Six Gents suit,First Lady of Pakistan,3/2/2023,,,In process
1,One Carpet,"Dr. Arif Alvi, President of Pakistan",1/3/2022,"Rs.20,000/-",Free of cost,Retained
2,One   Onyx   Jewellery box,First lady of Pakistan,1/3/2022,"Rs.16,000/-",Free of cost,Retained
3,"a.  One                box
containing Arabian Oudh  i.e.  (i)  One light yellow colour
(ii)     One     dark brown colour
b.  One souvenir
c.  One    Jai    Namaz with one stick","Dr. Arif Alvi, President of Pakistan",1/3/2022,"a.
(i) Rs.16,000/-
(ii) Rs.14,000/-
b.  Rs.10,000/-
c.  Rs.20,000/-","Rs.15,000/-","Amount deposited, gift retained"
,,,,"Total: - Rs.60,000/-",,
4,One vase,"Mr.    Sohail    Mehmood,    Foreign Secretary",1/5/2022,"Rs.15,000/-",Free of cost,Retained
5,A gift (oil painting),"Mr.    Sohail    Mehmood,    Foreign Secretary",1/6/2022,"Rs.10,000/-",Free of cost,Retained
6,One    (white    colour) vase          (porcelain) (Chinese),Advisor  to  the  Prime  Minister  on Commerce & Investment,1/6/2022,"Rs.40,000/-",-,Deposited in Toshakhana
7,"a.  Two          Haylout smart watches
b.  Two USB port key rings/charging
clips","Ms.  Tayyaba  Ali,  Section  Officer, Cabinet division",1/7/2022,"a.  Rs.4,000/-
b.  Rs.1,500/-
(each) Total: -
Rs.11,000/-",-,Deposited in Toshakhana
8,"a.  Memento   of   Rail car
b.  A    medium    size Jewelry  box/Cigar box
c.  One   coin   of   rail car
d.  One    small   bowl along  with  spoon
(golden colour)","Mr.   Omer   Ayub   Khan,   Federal Minister for Economic Affairs",1/7/2022,"a.  NCV
b.  Rs.44,000/-
c.  NCV
d.  Rs.10,000/-",-,Deposited in Toshakhana
,,,,"Total: - Rs.54,000/-",,
9,"One  Victorinox  Swiss Army wrist watch (0Model:241701)
(2211)",Capt.   M   Zahid   Zaheer   PN   of Pakistan Navy,1/11/2022,"Rs.75,000/-","Rs.22,500/-","Amount deposited, gift
retained"
10,"One  Victorinox  swiss Army wrist watch (Model:241697)
(2212)",Capt.  Imran  Khalid  Shafi  PN  of Pakistan Navy,1/11/2022,"Rs.85,000/-","Rs.27,500/-","Amount deposited, gift
retained"
11,"Two   blue   decoration bowl (two pcs): -
a.  One       Turquoise (small)
b.  One Turquoise","Shah  Mehmood  Hussain  Qureshi, Foreign Minister of Pakistan",1/25/2022,"a. Rs.24,000/-
b. Rs.25,000/-
Total: Rs.49,000/-",-,Deposited in Toshakhana
12,One Turkmen Rug,"Secretary, Petroleum Division",2/2/2022,"Rs.10,000/-",-,Deposited in Toshakhana
13,"Two gifts i.e.
a. Two Mascots
b. One small Tea set","Mr.    Sohail    Mehmood,    Foreign Secretary",2/9/2022,"a. Rs.22,000/-
b. Rs.8,000/-
Total: - Rs.30,000/-",Free of cost,Retained
14,"One w/watch Rolex Model No.126333 Serial No.6x8133F1 (Oyster        perpetual
Datejust)","Dr. Arif Alvi, President of Pakistan",2/9/2022,"Rs.2,500,000/-","Rs.1,235,00
0/-","Amount deposited, gift retained"
15,"W/Watch           Rolex Golden    Watch    No. Oyster                    M
SAP39139.64
(Datejust)     (without warranty card)","Sheikh Rashid Ahmed, Minister for Interior",2/9/2022,"Rs.2,100,000/-",-,Deposited in Toshakhana
16,One   box   containing crystal model of clock tower,"Dr. Arif Alvi, President of Pakistan",2/11/2022,"Rs.10,000/-",Free of cost,Retained
17,One Urn (large),Justice Qazi Faez Isa,2/14/2022,"Rs.330,000/-",-,"Displayed at Supreme Court
Museum"
,,,,,,
18,"A flower vase
(white      and      blue colors)","Mr. Imran Khan, Prime Minister of Pakistan",2/14/2022,"Rs.40,000/-",-,Deposited in Toshakhana
19,One flower vase (Red color),"Mr. Imran Khan, Prime Minister of Pakistan",2/14/2022,"Rs.27,000/-",Free of cost,Retained
20,One    Business    card Tray (Japan),"Special   Assistant   to   the   Prime Minister     for     National     Health
Services,          Regulation          & Coordination",2/22/2022,"Rs.7,000/-",-,Deposited in Toshakhana
21,One steel cutlery set,"Dir Com, Heavy Industries Taxila",2/23/2022,"10,000/-",-,Deposited in Toshakhana
22,One  golden  model  of ship,"Dr. Arif Alvi, President of Pakistan",2/25/2022,"Rs.20,000/-",Free of cost,Retained
23,One crystal souvenir,"Dr. Arif Alvi, President of Pakistan",3/2/2022,"Rs.6,000/-",Free of cost,Retained
24,Four boxes containing cup mats,"Dr. Arif Alvi, President of Pakistan",3/7/2022,"Rs.5,000/-",Free of cost,Retained
25,One   souvenir   clock (gold plated),"Dr. Arif Alvi, President of Pakistan",3/10/2022,"Rs.110,000/-","Rs.40,000/-","Amount deposited,
gift retained"
26,"One   bag   containing Beijing  2022,  Tea  set (five pieces)","Shah  Mahmood  Hussain  Qureshi, Foreign Minister of Pakistan",3/11/2022,"Rs.8,000/-",-,Deposited in Toshakhana
27,"One       model       of Registan      Ensemble
(One       Heart       of Samarkand)","Mr. Imran Khan, Prime Minister of Pakistan",3/15/2022,"Rs.25,000/-",-,Deposited in Toshakhana
28,One   soft   drink   set (18pcs),"Mr. Imran Khan, Prime Minister of Pakistan",3/16/2022,"Rs.280,000/-",-,"Deposited in
Toshakhana"
29,One tea set (16pcs),"Mr. Imran Khan, Prime Minister of",3/16/2022,"Rs.57,000/-",-,Deposited
,,Pakistan,,,,in Toshakhana
30,"a.  One  pistol  (having magazine         and bullets)       (9mm) duly framed
b.  One       decoration piece (wolf)","Mr. Imran Khan, Prime Minister of Pakistan",3/16/2022,"a.  Rs.200,000/
-
b.  Rs.200,000/
-
Total: - Rs.400,000/-",-,"Sr.No. (a) Deposited in Toshakhana
Sr.No.(b) Displayed at Prime Minister
House"
31,One Olympic Mascot,"Brig.  Muhammad  Ahmed,  Military Secretary to the Prime Minister",3/16/2022,"Rs.5,000/-",Free of cost,Retained
32,"Two                framed
calligraphies: -
a. One small
b. One large","Dr. Arif Alvi, President of Pakistan",3/17/2022,"a. Rs.14,000/-
b. Rs.15,000/-",Free of cost,Retained
33,One      Onyx      Plate (Augarten Wien),"Mr. Imran Khan, Prime Minister of Pakistan",3/25/2022,"Rs.50,000/-",-,"Deposited in
Toshakhana"
34,One shield,"Mr. Imran Khan, Prime Minister of Pakistan",3/25/2022,"Rs.12,000/-",-,"Deposited
in Toshakhana"
35,One carpet,"Mr. Imran Khan, Prime Minister of Pakistan",3/25/2022,"Rs.287,000/-",-,Deposited in Toshakhana
36,"a. One kehwa tea set
b. One coffee packet","Mr. Imran Khan, Prime Minister of Pakistan",3/25/2022,"a.  Rs.28,500/-
b.  Rs.1,200/-
Total: - Rs.29,700/-",-,Deposited in Toshakhana
37,One  decoration  piece (Asfour),"Mr. Imran Khan, Prime Minister of Pakistan",3/25/2022,"Rs.12,000/-",-,"Deposited
in Toshakhana"
38,One model of Masjid e Aqsa,"Mr. Imran Khan, Prime Minister of Pakistan",3/25/2022,"Rs.25,000/-",-,Deposited in Toshakhana
39,One carpet,"Mr. Imran Khan, Prime Minister of Pakistan",3/29/2022,"Rs.13,800/-",-,"Deposited in
Toshakhana"
40,"a.      One      souvenir (Zafer Migfer)
b. One shield
c. One vase","Dr. Arif Alvi, President of Pakistan",3/30/2022,"a.  Rs.30,000/-
b.  NCV
c.  Rs.80,000/-","Rs.40,000/-","Amount deposited,
gift retained"
41,"One              w/watch Longines  (Model  No.
L3-7174-96-6)","Cdre Sharjeel Iftikhar, ACNS (OP)",4/1/2022,"Rs.331,660/-","Rs.150,830/-",In process
42,"One   w/watch   Tissot
(Model No. T035-617- 16-051-00)","Capt. Aziz ul Haq PN, DPS",4/1/2022,"Rs.112,800/-","Rs.41,400/-",In process
43,"One   w/watch   Tissot (Model No. T101-417-
11-041-00)","Capt.    Tayyab    Wadood    Anwar TI(M) PN, DFMC",4/1/2022,"Rs.66,000/-","Rs.18,000/-",In process
44,"One   w/watch   Tissot
(Model No. T137-410- 11-031-00","Lt  Cdr  Wajeeh  ul  Hassan  PN,  DD Diving (LCO, DFMC",4/1/2022,"Rs.76,000/-","Rs.23,000/-",In process
45,"One   w/watch   Tissot (Model No. T116-410- 11-047-00)
STAINLESS STEEL","Capt. Ali Raza PN, DNOP",4/1/2022,"Rs.54,600/-","Rs.12,300/-",In process
46,One Souvenir,"Dr. Arif Alvi, President of Pakistan",4/12/2022,NCV,Free of cost,Retained
47,"a.  One carpet
b.  One sindhi khase
c.  One sindhi Rally","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",4/15/2022,"a. Rs.35,000/-
b. Rs.10,000/-
c. Rs.15,000/-",-,"Sr.No. (a) Displayed at Prime Minister House
Sr.No.
(b&c) Deposited in Toshakhana"
48,One carpet,"Mian  Muhammad  Shehbaz  Sharif,",4/21/2022,"Rs.40,000/-",-,Displayed
,,Prime Minister of Pakistan,,,,"at Prime Minister
House"
49,One carpet,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",4/26/2022,"Rs.90,000/-",-,"Displayed at Prime
Minister House"
50,One carpet,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",4/26/2022,"Rs.45,000/-",-,"Deposited in
Toshakhana"
51,"a. One Diary
b. One Shield
c. One Calendar","Dr. Arif Alvi, President of Pakistan",4/26/2022,"a.  Rs.15,000/-
b.  NCV
c.  NCV",Free of cost,Retained
52,"One             w/watch Frederique    constant Model
F.C-718CHWM4H6
Serial#3780291","Mr.   Ali   Haider   Altaf,   Director General Protocol",5/9/2022,"Rs.834,250/-",-,Deposited in Toshakhana
53,"One watch Frederique constant Model
F.C-718CHWM4H6
Serial#3780292","Mr.  Adeel  Ahmed  Khan,  Deputy Chief of protocol(v-II) MOFA",5/9/2022,"Rs.834,250/-",-,Deposited in Toshakhana
54,One watch Aryta (Expo Dubai),Mr. Asif Imran Chief of Protocol (v-II) MOFA,5/9/2022,"Rs.400,000/-",-,"Deposited in
Toshakhana"
55,One wall hanging,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",5/10/2022,"Rs.12,000/-",-,"Deposited
in Toshakhana"
56,One rifle duly framed,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",5/10/2022,Antique,-,"Deposited
in Toshakhana"
57,One revolver,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",5/10/2022,"Rs.25,000/-",-,"Deposited in
Toshakhana"
58,One  short  gun  (duly framed),"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",5/10/2022,"Rs.45,000/-",-,"Deposited
in Toshakhana"
59,One  W/watch  Oyster M- (Rolex SA Geneve) Sr     No.     M116681- 0002/851Z34F7,"Khawaja Muhammad Asif, Defense Minister",5/10/2022,"Rs.7,200,840/-",-,Deposited in Toshakhana
60,"a.  One   Al-Taif   Rose Nakhb Al-Rouse
b.  Two           Maknuz Khalas Dates
c.  One   Al-jouf   Olive Oil
d.  One     Taif     rose water
e.  One         Khawlani coffee beans
f.   One sider honey","Khawaja Muhammad Asif, Defense Minister",5/10/2022,"a.  Rs.22,000/-
b.  Rs.2,000/-
c.  Rs.2,000/-
d.  Rs.3,000/-
e.  Rs.3,000-
f.   Rs.3,000/-","Rs.2,500/-","Amount deposited, gift retained"
61,Rolex           w/watch (oyster)M116680- 0002 12936133,"Mr.    Sohail    Mehmood,    Foreign Secretary",5/11/2022,"Rs.4,950,000/-",-,Deposited in Toshakhana
62,Tudor               Watch model(79012M),"Mr.    Sohail    Mehmood,    Foreign Secretary",5/11/2022,"Rs.1,214,170/-",-,"Deposited
in Toshakhana"
63,"a.  One                box
containing w/watch       Rolex No.636339
(Replica)
b.  One   Al-Taif   rose Nakhb Al-Rouse
c.  One                box
containing: -
i)  one  packet  of coffee beans
ii)  one  jar  of  sidr","Brig.    Muhammad    Ahmad,    Ex- Military   Secretary   to   the   Prime Minister",5/12/2022,"a. Rs.7,000/-
b. Rs.22,000/-
c.
(i) Rs.3,000/-
(ii) Rs.3,000/-
(iii) Rs.1,000/-
(iv) Rs.3,000/-",-,Deposited in Toshakhana
,"honey
iii)  one  packet  of dates
iv)  one  bottle  of rose water
v)   one   bottle   of olive oil",,,"(v) Rs.2,000/-
Total: - Rs.41,000/-",,
64,"a.  One   Rolex   wrist watch
b.  One Taif Rose","Ameer        Khurram        Rathore, Ambassador     of     Pakistan     to Kingdom of Saudi Arabia",5/12/2022,"a.  Rs.4,950,00
0/-
b.  Rs.22,000/-","Rs.2,471,00
0/-","Amount deposited, gift retained"
65,"One box containing: -
a.  One   wrist   watch Lange    &    Sohne Datograph Flyback
b.  One      pair      of cufflinks (Chopard)
c.  One                pen
(Chopard)
d.  One                ring (Chopard)
e.  One            Tasbih (Chopard)","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",5/12/2022,"a.
Rs.14,800,000/
-
b. Rs.413,750/-
c. Rs.150,000/-
d. Rs.474,000/-
e. Rs.399,100/-",-,Gifts displayed at Prime Minister House
66,"a.  One                box
containing: -
(i)  Two  bottles  of liquid Oud
(ii)    Oud    Wood Approx 2 kg
b.  One Book
c.  One                box
containing: -
(i)  Three  Packets of dates","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",5/12/2022,"a.
(i) Rs.30,000/-
(each)
(ii) Rs.225,000/-
b.  NCV
c.
(i) Rs.1,000/-
(each)
(ii) Rs.2,000/-","Rs.145,500/-","Amount deposited, gift retained"
,"(ii)  Three  Packets of olive oil
(iii) Three Packets of sidr honey
(iv) Three Packets of      Taifi      Rose Water
(v)  Three  Packets of Khawlani Coffee
d.  Ghulaf-e- Kaaba + Quran (for Info)",,,"(each)
(iii) Rs.3,000/- (each)
(iv) Rs.3,000/-
(each)
(v) Rs.3,000/-
(each)
d.  NCV",,
67,One  model  of  Station of Abraham,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",5/12/2022,"Rs.16,000/-",Free of cost,Retained
68,"One wrist watch Rolex (Model No.326259TBR-Sr
No.85C423E3)","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",5/12/2022,"Rs.140,000,000
/-",-,"Displayed at Prime Minister
House"
69,"One box containing: -
a.  Four    bottles    of liquid oud
b.  One   box   of   oud wood
c.  One       box       of Saffron","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",5/12/2022,"a.  Rs.14,000/-
(each)
b.  Rs.150,000/
-
c.  Rs.75,000/-
Total: - Rs.281,000/-","Rs.125,500/-","Amount deposited, gift retained"
70,"a.  One              Rolex W/watch       oyster swim               pruf
LM473548(1)
b.  One Taif rose bride rate - perfume","Ms.  Marriyum  Aurangzeb,  Federal Minister      for      information      & Broadcasting",5/16/2022,"a.  Rs.3,200,00
0/-
b.  Rs.22,000/-
Total: - Rs.3,222,000/-",-,Deposited in Toshakhana
71,A     box     containing perfume Taif Rose,"Mr.    Sohail    Mehmood,    Foreign Secretary",5/17/2022,"Rs.22,000/-",-,"Deposited in
Toshakhana"
72,"a.  One                box
containing: -","Chaudhry  Salik  Hussain,  Federal Minister",5/17/2022,"a.
(i) Rs.3,000/-",-,Deposited in
,"(i)   one   packet   of coffee beans
(ii)  one  jar  of  sidr honey
(iii)  one  packet  of dates
(iv)   one   bottle   of rose water
(v)   one   bottle   of olive oil
b.  One                box
containing       one w/watch Rolex
c.  One                box
containing
perfume  Taif  rose bride rate",,,"(ii) Rs.3,000/-
(iii) Rs.1,000/-
(iv) Rs.3,000/-
(v) Rs.2,000/-
b.
Rs.7,200,840/-
c. Rs.22,000/-
Total: - Rs.7,234,840/-",,Toshakhana
73,"One Rolex W/watch Model No.M126283RBR- 0004
Serial No.2997C1M9","Khalid         Maqbool         Siddiqui, Convener, MQM (Pakistan)
MNA NA-255",5/18/2022,"Rs.3,850,000/-",-,Deposited in Toshakhana
74,"a.  One             Rolex w/watch     (oyster perpetual) Model.16681- 0002 (0A37Z468)
b.  One    Taif    Rose Bride Rate",Minister for Finance,5/19/2022,"a.  Rs.7,200,84
0/-
b.  Rs.22,000/-",-,Deposited in Toshakhana
75,"One Rolex w/watch S.No.W278343RBR-
0024   Model   96   PA Oyster M96PA0021","Ms.  Marriyum  Aurangzeb,  Federal Minister      for      information      & Broadcasting",5/19/2022,"Rs.2,750,000/-",-,Deposited in Toshakhana
76,One              W/watch Victorinox No.249173,"Brig    Muhammad    Ahmad,    Ex- Military     Secretary     to     Prime
Minister",5/19/2022,"Rs.200,000/-",-,"Deposited in
Toshakhana"
77,One   w/watch   Rolex No.062F2440- M126300-0005,"Sumair Ahmad Syed, PSO to Prime Minister",5/19/2022,"Rs.2,200,000/-","1,085,000/-","Amount deposited, gift
retained"
78,"One              W/watch
Fredique       Constant
Geneve           No.FC- 718CHWM4H6","SP   Mahzoor   Ali   Ghauri,   Chief Security Officer to Prime Minister",5/19/2022,"Rs.834,250/-",-,Deposited in Toshakhana
79,"One  W/Watch  Tudor
No.M79540- 0001,1711280",Major     Saad     Zafar     Assistant Security Officer to Prime Minister,5/19/2022,"Rs.575,000/-",-,"Deposited
in Toshakhana"
80,"One  W/Watch  Tudor No.            M79012M-
0001,38916T1","Mr.  Zia  ul  Haq,  Valet  to  Prime Minister",5/19/2022,"Rs.1,214,170/-",-,"Deposited in
Toshakhana"
81,"One   W/Watch   Rolex
Model               50515 Serial:423T4103","Mr.    Asad    Mehmood,    Federal Minister for Communications",5/23/2022,"Rs.2,420,000/-",-,"Deposited
in Toshakhana"
82,"a.  One         w/watch Rolex   model   No. M116680-0002  Sr. No.94R7941
b.  One itar
c.  One bottle of rose water
d.  Two    Packets    of dates
e.  One jar of honey
f.   One bottle of Olive oil
g.  One    packet    of coffee beans",Hafiz  Muhammad  Tahir  Mahmood Ashrafi,5/24/2022,"a.  Rs.4,950,00
0/-
b.  Rs.22,000/-
c.  Rs.3,000/-
d.  Rs.1,000/-
(each)
e.  Rs.3,000/-
f.   Rs.2,000/-
g.  Rs.3,000/-",-,Deposited in Toshakhana
83,"One        Gun        Sr. No.TC.MSB0024,
Model MPT-55","Mr.    Muhammad    Israr    Tareen, Federal    Minister    for    Defence Production",5/26/2022,"Rs.150,000/-","Rs.60,000/-","Amount deposited, gift
retained"
84,a.  National   Emblem of Qatar (Falcon),"Mr.   Ishrat   Ali,   Secretary,   M/o
Overseas    Pakistanis    &    Human Resources Development",5/30/2022,"a. Rs.20,000/-
b. Rs.50,000/-
c. Rs.18,000/-",-,"Deposited
in Toshakhana"
,"b.  One Arabian Oryx
c.  One Boat",,,,,
85,"a.  One                box
containing    Rolex Sr.No.M116681-
0002        (without warranty card)
b.  One     bottle     of fragrance   of   Taif Rose Bride Rate
c.  One                box
containing      food (dates,   olive   oil, honey, rose water
and Arabic kehwa)","Mr.     Bilawal     Bhutto     Zardari, Minister for Foreign Affairs",6/7/2022,"a.
Rs.7,200,840/-
b. Rs.22,000/-
c. Rs.13,000/-
Total:- Rs.7,235,840/-",-,Deposited in Toshakhana
86,"One box containing Eschembach club
10x25 binocular","Mr.     Bilawal     Bhutto     Zardari, Minister for Foreign Affairs",6/8/2022,In process,In process,In process
87,"a.  One souvenir
b.  One shield
c.  One photo Album","Dr. Arif Alvi, President of Pakistan",6/13/2022,"a.  Rs.30,000/-
b.  Rs.3,000/-
c.  NCV","Rs.1,500/-","Amount deposited,
gift retained"
88,"a.  One Ancient shield (duly framed)
b.  One wall hanging","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",6/13/2022,"a. In process
b. Rs.12,000/-",-,In process
89,"a.  One onyx plate
b.  One scarf
c.  One pair of shoes",Begum Prime Minister,6/13/2022,"a. Rs.10,000/-
b. Rs.7,000/-
c. Rs.5,000/-",Free of cost,Retained
90,One  Elizi  locket  with chain,Begum Prime Minister,6/13/2022,"Rs.125,000/-",-,"Displayed at Prime Minister
House"
91,One Tasbih,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",6/13/2022,"Rs.45,000/-",-,"Displayed
at Prime Minister"
,,,,,,House
92,One  decoration  piece (duly framed) (onyx),"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",6/13/2022,"Rs.12,000/-",Free of cost,Retained
93,One vase (opal glass),"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",6/13/2022,"Rs.22,000/-",Free of cost,Retained
94,One decoration piece,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",6/13/2022,"Rs.50,000/-",-,"Displayed at Prime Minister
House"
95,"One   box   containing one  bowl,  one  plate
and   one   cup   with saucer","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",6/13/2022,"Rs.10,000/-",Free of cost,Retained
96,One Rifle (MPT-55),"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",6/13/2022,"Rs.150,000/-",-,"Displayed at Prime Minister
House"
97,"One   box   containing one bowl, one plate &
one cup with saucer","Brig.   Tajdeed   Mumtaz,   Military Secretary to the Prime Minister",6/15/2022,"Rs.10,000/-",Free of cost,Retained
98,One     carpet     (wall hanging),"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",6/16/2022,"Rs.30,000/-",Free of cost,Retained
99,Arabic Coffee pot with three cups,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",6/16/2022,"26,000/-",Free of cost,Retained
100,Arabic    kehwa    with three cups,"Mr.     Bilawal     Bhutto     Zardari, Minister for Foreign Affairs",6/17/2022,"Rs.26,000/-",Free of cost,Retained
101,Two Pelikan Pens and a card inner,"Mr. Shoaib Mansoor, Deputy Chief of Protocol (V-I)",6/17/2022,In process,In process,In process
